Date,Open,High,Low,Close,Volume
04/21/2023,"48.57","48.60","48.45","48.50","1,830,504"
04/20/2023,"48.53","48.61","48.52","48.60","1,565,749"
04/19/2023,"48.48","48.48","48.37","48.43","1,944,573"
04/18/2023,"48.49","48.57","48.48","48.49","2,120,219"
04/17/2023,"48.44","48.46","48.39","48.43","2,108,043"
04/14/2023,"48.60","48.63","48.49","48.55","2,033,831"
04/13/2023,"48.84","48.87","48.74","48.77","2,452,046"
04/12/2023,"48.85","48.87","48.68","48.78","2,177,190"
04/11/2023,"48.79","48.80","48.73","48.77","2,427,140"
04/10/2023,"48.83","48.87","48.78","48.83","3,035,529"
04/06/2023,"49.04","49.08","49.01","49.01","3,818,848"
04/05/2023,"49.00","49.13","49.00","49.05","2,130,897"
04/04/2023,"48.68","48.96","48.68","48.95","2,643,748"
04/03/2023,"48.75","48.93","48.72","48.93","4,545,920"
03/31/2023,"48.78","48.94","48.76","48.92","1,726,173"
03/30/2023,"48.71","48.80","48.70","48.79","2,092,153"
03/29/2023,"48.81","48.90","48.79","48.84","2,450,219"
03/28/2023,"48.90","48.92","48.83","48.86","1,435,504"
03/27/2023,"48.92","49.05","48.89","48.89","2,016,429"
03/24/2023,"49.35","49.40","49.21","49.23","1,721,010"
03/23/2023,"48.98","49.23","48.95","49.22","1,693,482"
03/22/2023,"48.60","48.98","48.59","48.94","1,816,270"
03/21/2023,"48.87","48.94","48.77","48.81","1,794,057"
03/20/2023,"49.14","49.14","49.01","49.05","3,192,525"
03/17/2023,"48.92","49.20","48.92","49.09","1,755,183"
03/16/2023,"49.01","49.12","48.69","48.74","1,629,024"
03/15/2023,"49.17","49.25","48.93","48.98","3,185,609"
03/14/2023,"48.78","48.78","48.54","48.63","1,962,108"
03/13/2023,"48.91","49.04","48.79","48.92","2,138,127"
03/10/2023,"48.27","48.36","48.17","48.30","1,975,596"
03/09/2023,"47.75","47.87","47.74","47.83","1,874,032"
03/08/2023,"47.78","47.88","47.75","47.78","1,692,012"
03/07/2023,"47.75","47.82","47.61","47.70","1,961,241"
03/06/2023,"47.73","47.75","47.64","47.65","2,208,946"
03/03/2023,"47.60","47.68","47.53","47.67","1,784,218"
03/02/2023,"47.50","47.53","47.46","47.52","1,875,797"
03/01/2023,"47.64","47.69","47.53","47.54","2,492,537"
02/28/2023,"47.62","47.79","47.59","47.76","2,987,307"
02/27/2023,"47.81","47.83","47.65","47.78","5,287,869"
02/24/2023,"47.84","47.90","47.80","47.89","2,472,848"
02/23/2023,"47.93","48.06","47.91","48.04","2,938,329"
02/22/2023,"47.88","47.95","47.87","47.88","1,890,634"
02/21/2023,"47.93","47.93","47.81","47.81","3,389,725"
02/17/2023,"48.08","48.21","48.08","48.20","2,001,098"
02/16/2023,"48.11","48.17","48.04","48.10","2,914,786"
02/15/2023,"48.21","48.27","48.15","48.20","4,142,071"
02/14/2023,"48.30","48.40","48.23","48.29","10,493,100"
02/13/2023,"48.35","48.43","48.35","48.43","1,974,838"
02/10/2023,"48.44","48.46","48.32","48.35","2,080,599"
02/09/2023,"48.64","48.67","48.43","48.47","1,585,882"
02/08/2023,"48.48","48.56","48.42","48.56","1,889,092"
02/07/2023,"48.50","48.58","48.42","48.46","2,014,059"
02/06/2023,"48.57","48.63","48.56","48.58","2,485,672"
02/03/2023,"48.82","48.89","48.75","48.78","2,999,456"
02/02/2023,"49.00","49.17","48.98","49.09","2,749,819"
02/01/2023,"48.56","48.65","48.47","48.64","2,698,190"
01/31/2023,"48.51","48.55","48.41","48.55","4,310,830"
01/30/2023,"48.44","48.50","48.40","48.41","3,054,183"
01/27/2023,"48.51","48.61","48.49","48.61","2,038,440"
01/26/2023,"48.77","48.79","48.67","48.71","2,173,686"
01/25/2023,"48.85","48.92","48.76","48.84","2,071,849"
01/24/2023,"48.68","48.83","48.63","48.80","2,067,944"
01/23/2023,"48.55","48.67","48.55","48.59","3,482,518"
