Date,Open,High,Low,Close,Volume
04/21/2023,"184.98","185.68","183.22","184.25","10,698,710"
04/20/2023,"186.14","187.03","185.78","186.09","5,789,908"
04/19/2023,"184.35","185.58","184.28","185.36","7,373,518"
04/18/2023,"185.24","186.99","185.04","186.25","8,056,928"
04/17/2023,"185.89","185.93","184.10","185.53","7,468,062"
04/14/2023,"188.08","188.49","185.17","186.36","13,272,540"
04/13/2023,"189.76","190.41","188.99","189.72","14,060,110"
04/12/2023,"187.54","187.66","185.97","187.19","10,000,950"
04/11/2023,"185.91","186.51","185.64","186.28","6,031,494"
04/10/2023,"185.18","185.36","184.19","185.11","6,408,114"
04/06/2023,"186.89","187.26","185.95","186.49","6,648,428"
04/05/2023,"188.34","188.86","186.78","187.83","11,440,830"
04/04/2023,"184.72","188.23","184.66","187.98","13,765,360"
04/03/2023,"183.85","185.04","183.32","184.54","9,206,635"
03/31/2023,"184.11","184.42","182.80","183.22","8,003,334"
03/30/2023,"182.75","184.44","182.55","184.18","6,360,296"
03/29/2023,"182.49","183.27","182.24","182.53","4,996,493"
03/28/2023,"182.31","183.62","182.12","183.44","6,202,597"
03/27/2023,"181.15","182.15","180.69","181.95","6,925,046"
03/24/2023,"185.61","185.99","183.62","183.65","9,253,075"
03/23/2023,"183.91","186.24","183.60","185.74","11,347,150"
03/22/2023,"180.40","183.94","180.28","183.44","11,969,560"
03/21/2023,"182.65","182.73","179.90","180.37","10,734,490"
03/20/2023,"184.19","184.54","182.74","183.84","11,845,680"
03/17/2023,"181.02","184.81","180.77","183.77","24,156,270"
03/16/2023,"179.51","179.65","177.87","178.57","10,764,870"
03/15/2023,"178.86","180.13","177.49","178.21","14,546,100"
03/14/2023,"177.35","177.59","176.21","176.83","10,019,030"
03/13/2023,"176.66","178.02","176.30","177.86","20,554,420"
03/10/2023,"171.93","173.88","171.92","173.87","13,803,440"
03/09/2023,"169.75","170.65","169.71","170.20","5,582,980"
03/08/2023,"168.61","169.59","168.52","168.54","5,718,595"
03/07/2023,"170.42","170.47","168.52","168.62","8,713,268"
03/06/2023,"172.32","172.37","171.54","171.62","4,264,124"
03/03/2023,"171.45","172.60","170.98","172.49","6,894,466"
03/02/2023,"170.52","170.98","170.36","170.66","3,952,266"
03/01/2023,"170.95","171.49","170.47","170.76","6,590,468"
02/28/2023,"168.78","170.25","168.59","169.78","6,761,585"
02/27/2023,"168.88","169.23","168.55","169.01","4,509,151"
02/24/2023,"168.42","168.84","168.19","168.35","6,496,496"
02/23/2023,"169.84","170.13","169.08","169.57","5,073,479"
02/22/2023,"170.81","170.96","169.56","169.66","4,105,675"
02/21/2023,"171.20","171.50","170.34","170.62","4,035,933"
02/17/2023,"169.87","171.47","169.52","171.26","4,809,799"
02/16/2023,"170.34","171.60","169.96","170.75","4,540,398"
02/15/2023,"170.60","170.99","170.16","170.89","5,435,337"
02/14/2023,"171.97","173.51","171.41","172.61","5,403,099"
02/13/2023,"172.70","172.90","172.07","172.48","3,970,786"
02/10/2023,"173.63","173.68","172.63","173.36","2,971,125"
02/09/2023,"175.49","175.52","172.87","173.03","5,361,340"
02/08/2023,"174.94","174.99","173.83","174.41","4,075,638"
02/07/2023,"173.72","175.27","173.47","173.98","6,794,153"
02/06/2023,"174.11","174.46","173.28","173.82","8,956,963"
02/03/2023,"174.92","175.43","173.12","173.46","13,674,440"
02/02/2023,"181.08","181.11","177.74","177.90","8,842,396"
02/01/2023,"179.75","181.73","178.63","181.67","7,996,005"
01/31/2023,"178.82","179.70","178.54","179.41","5,976,888"
01/30/2023,"179.29","179.43","178.65","178.76","4,210,726"
01/27/2023,"179.27","179.72","178.26","179.22","6,052,728"
01/26/2023,"180.15","180.27","178.46","179.47","5,860,129"
01/25/2023,"179.35","181.22","179.29","181.11","6,925,348"
01/24/2023,"179.56","180.32","178.35","180.28","4,604,628"
01/23/2023,"178.35","179.69","177.78","179.63","5,265,507"
