,Date,Open,High,Low,Close,Volume,daily_return_normalized
0,04/21/2023,184.98,185.68,183.22,184.25,"10,698,710",-0.009887688752754031
1,04/20/2023,186.14,187.03,185.78,186.09,"5,789,908",0.003938282261545023
2,04/19/2023,184.35,185.58,184.28,185.36,"7,373,518",-0.0047785234899327955
3,04/18/2023,185.24,186.99,185.04,186.25,"8,056,928",0.0038807739988142576
4,04/17/2023,185.89,185.93,184.1,185.53,"7,468,062",-0.004453745438935508
5,04/14/2023,188.08,188.49,185.17,186.36,"13,272,540",-0.017710309930423662
6,04/13/2023,189.76,190.41,188.99,189.72,"14,060,110",0.01351567925637065
7,04/12/2023,187.54,187.66,185.97,187.19,"10,000,950",0.004885119175434882
8,04/11/2023,185.91,186.51,185.64,186.28,"6,031,494",0.006320566149856877
9,04/10/2023,185.18,185.36,184.19,185.11,"6,408,114",-0.007399860582336881
10,04/06/2023,186.89,187.26,185.95,186.49,"6,648,428",-0.00713411063195446
11,04/05/2023,188.34,188.86,186.78,187.83,"11,440,830",-0.0007979572294923853
12,04/04/2023,184.72,188.23,184.66,187.98,"13,765,360",0.018640945052563085
13,04/03/2023,183.85,185.04,183.32,184.54,"9,206,635",0.0072044536622639654
14,03/31/2023,184.11,184.42,182.8,183.22,"8,003,334",-0.005212292322727796
15,03/30/2023,182.75,184.44,182.55,184.18,"6,360,296",0.009039609927135261
16,03/29/2023,182.49,183.27,182.24,182.53,"4,996,493",-0.004960750109027412
17,03/28/2023,182.31,183.62,182.12,183.44,"6,202,597",0.008189062929376156
18,03/27/2023,181.15,182.15,180.69,181.95,"6,925,046",-0.009256738361012928
19,03/24/2023,185.61,185.99,183.62,183.65,"9,253,075",-0.011252288144718459
20,03/23/2023,183.91,186.24,183.6,185.74,"11,347,150",0.012538159616223288
21,03/22/2023,180.4,183.94,180.28,183.44,"11,969,560",0.01702056883073677
22,03/21/2023,182.65,182.73,179.9,180.37,"10,734,490",-0.018875108790252337
23,03/20/2023,184.19,184.54,182.74,183.84,"11,845,680",0.00038091092126024684
24,03/17/2023,181.02,184.81,180.77,183.77,"24,156,270",0.029120232961863834
25,03/16/2023,179.51,179.65,177.87,178.57,"10,764,870",0.002020088659446584
26,03/15/2023,178.86,180.13,177.49,178.21,"14,546,100",0.007804105638183456
27,03/14/2023,177.35,177.59,176.21,176.83,"10,019,030",-0.005791071629371425
28,03/13/2023,176.66,178.02,176.3,177.86,"20,554,420",0.022948179674469493
29,03/10/2023,171.93,173.88,171.92,173.87,"13,803,440",0.021562867215041193
30,03/09/2023,169.75,170.65,169.71,170.2,"5,582,980",0.009849293936157633
31,03/08/2023,168.61,169.59,168.52,168.54,"5,718,595",-0.0004744395682600988
32,03/07/2023,170.42,170.47,168.52,168.62,"8,713,268",-0.017480480130520948
33,03/06/2023,172.32,172.37,171.54,171.62,"4,264,124",-0.005043770653371249
34,03/03/2023,171.45,172.6,170.98,172.49,"6,894,466",0.010723075120121939
35,03/02/2023,170.52,170.98,170.36,170.66,"3,952,266",-0.0005856172405714899
36,03/01/2023,170.95,171.49,170.47,170.76,"6,590,468",0.0057721757568618415
37,02/28/2023,168.78,170.25,168.59,169.78,"6,761,585",0.0045559434352997474
38,02/27/2023,168.88,169.23,168.55,169.01,"4,509,151",0.0039204039204039365
39,02/24/2023,168.42,168.84,168.19,168.35,"6,496,496",-0.0071946688683139914
40,02/23/2023,169.84,170.13,169.08,169.57,"5,073,479",-0.0005304727101261841
41,02/22/2023,170.81,170.96,169.56,169.66,"4,105,675",-0.00562653850662298
42,02/21/2023,171.2,171.5,170.34,170.62,"4,035,933",-0.003737008057923541
43,02/17/2023,169.87,171.47,169.52,171.26,"4,809,799",0.002986822840409964
44,02/16/2023,170.34,171.6,169.96,170.75,"4,540,398",-0.0008192404470711567
45,02/15/2023,170.6,170.99,170.16,170.89,"5,435,337",-0.009964660216673638
46,02/14/2023,171.97,173.51,171.41,172.61,"5,403,099",0.000753710575139177
47,02/13/2023,172.7,172.9,172.07,172.48,"3,970,786",-0.005076142131979822
48,02/10/2023,173.63,173.68,172.63,173.36,"2,971,125",0.001907183725365691
49,02/09/2023,175.49,175.52,172.87,173.03,"5,361,340",-0.007912390344590348
50,02/08/2023,174.94,174.99,173.83,174.41,"4,075,638",0.0024715484538453403
51,02/07/2023,173.72,175.27,173.47,173.98,"6,794,153",0.0009204924634680367
52,02/06/2023,174.11,174.46,173.28,173.82,"8,956,963",0.0020754064337598077
53,02/03/2023,174.92,175.43,173.12,173.46,"13,674,440",-0.024957841483979726
54,02/02/2023,181.08,181.11,177.74,177.9,"8,842,396",-0.020751912808939177
55,02/01/2023,179.75,181.73,178.63,181.67,"7,996,005",0.012596845214870811
56,01/31/2023,178.82,179.7,178.54,179.41,"5,976,888",0.0036361602148131666
57,01/30/2023,179.29,179.43,178.65,178.76,"4,210,726",-0.0025666778261355105
58,01/27/2023,179.27,179.72,178.26,179.22,"6,052,728",-0.001392990471945188
59,01/26/2023,180.15,180.27,178.46,179.47,"5,860,129",-0.009055270277731897
60,01/25/2023,179.35,181.22,179.29,181.11,"6,925,348",0.0046039494120257984
61,01/24/2023,179.56,180.32,178.35,180.28,"4,604,628",0.0036185492401046293
