Date,Open,High,Low,Close,Volume
04/21/2023,"249.45","249.67","246.99","248.94","930,581"
04/20/2023,"248.20","250.22","248.20","249.05","822,417"
04/19/2023,"248.47","250.38","248.05","250.05","626,861"
04/18/2023,"250.86","251.29","248.38","249.58","708,532"
04/17/2023,"248.25","249.98","247.80","249.91","822,226"
04/14/2023,"249.48","251.05","246.62","247.98","804,080"
04/13/2023,"248.35","249.91","246.85","249.34","767,656"
04/12/2023,"251.12","251.17","247.40","247.62","853,072"
04/11/2023,"247.98","250.03","247.47","249.03","828,247"
04/10/2023,"242.56","246.79","242.56","246.74","709,097"
04/06/2023,"243.85","244.50","242.51","243.78","714,489"
04/05/2023,"244.61","245.34","242.55","244.08","967,678"
04/04/2023,"250.56","250.78","244.41","245.77","1,336,224"
04/03/2023,"250.27","251.59","248.14","250.11","1,209,497"
03/31/2023,"247.38","250.29","247.24","250.16","1,317,418"
03/30/2023,"247.22","247.92","245.08","245.86","1,032,677"
03/29/2023,"244.65","245.29","243.14","245.14","1,243,911"
03/28/2023,"241.05","243.16","240.87","242.17","974,622"
03/27/2023,"242.04","242.88","239.87","241.64","1,188,314"
03/24/2023,"235.55","239.46","233.74","239.32","959,444"
03/23/2023,"240.00","242.92","235.57","237.35","1,086,569"
03/22/2023,"245.67","246.52","239.32","239.33","1,960,940"
03/21/2023,"245.07","246.81","244.44","245.59","976,688"
03/20/2023,"239.33","243.19","239.33","241.34","1,663,612"
03/17/2023,"240.20","241.58","236.39","237.25","1,910,953"
03/16/2023,"237.00","243.94","236.05","242.86","1,566,442"
03/15/2023,"239.03","240.49","235.79","239.53","1,242,353"
03/14/2023,"246.27","247.77","242.27","244.87","1,174,319"
03/13/2023,"240.04","244.09","237.67","240.22","1,911,545"
03/10/2023,"250.83","251.20","242.98","244.79","2,000,886"
03/09/2023,"258.22","259.04","251.86","251.97","2,110,038"
03/08/2023,"258.22","259.40","256.56","258.24","1,397,089"
03/07/2023,"261.05","262.00","257.58","257.99","761,148"
03/06/2023,"264.05","264.59","260.48","261.14","1,625,152"
03/03/2023,"262.52","264.69","261.06","264.37","1,322,188"
03/02/2023,"258.29","261.75","257.56","261.46","2,207,913"
03/01/2023,"259.10","260.94","258.39","260.17","1,920,463"
02/28/2023,"259.94","261.83","259.33","259.34","1,209,071"
02/27/2023,"261.10","262.79","259.29","259.98","1,243,034"
02/24/2023,"257.79","259.90","256.68","259.40","904,773"
02/23/2023,"261.33","262.56","257.98","261.01","706,635"
02/22/2023,"259.78","261.62","258.96","259.89","641,507"
02/21/2023,"263.08","263.68","259.08","259.46","695,869"
02/17/2023,"265.34","266.22","263.80","265.94","759,743"
02/16/2023,"264.85","269.12","264.69","266.24","1,778,005"
02/15/2023,"264.63","268.29","264.02","268.29","748,037"
02/14/2023,"264.78","267.99","263.58","266.33","643,245"
02/13/2023,"263.38","266.27","262.39","266.26","521,571"
02/10/2023,"261.40","263.36","261.00","263.12","632,298"
02/09/2023,"267.53","268.57","261.75","262.44","864,630"
02/08/2023,"267.30","268.29","265.08","265.66","868,139"
02/07/2023,"266.11","269.46","264.08","268.78","1,355,212"
02/06/2023,"268.04","269.54","265.84","266.89","1,100,863"
02/03/2023,"269.49","272.14","268.85","269.81","1,184,790"
02/02/2023,"270.24","272.95","269.31","271.72","1,097,397"
02/01/2023,"263.78","270.34","262.92","268.63","1,361,953"
01/31/2023,"259.08","264.36","258.73","264.29","1,398,955"
01/30/2023,"258.91","261.62","258.00","258.17","852,726"
01/27/2023,"258.93","261.92","258.93","261.00","799,095"
01/26/2023,"259.57","260.29","257.15","260.00","951,243"
01/25/2023,"255.29","257.95","254.00","257.79","786,131"
01/24/2023,"256.97","258.41","255.84","257.10","737,402"
01/23/2023,"255.38","258.86","254.81","257.99","973,141"
