,Date,Open,High,Low,Close,Volume,daily_return_normalized
0,04/21/2023,249.45,249.67,246.99,248.94,"930,581",-0.0004416783778358191
1,04/20/2023,248.2,250.22,248.2,249.05,"822,417",-0.003999200159968019
2,04/19/2023,248.47,250.38,248.05,250.05,"626,861",0.0018831637150411584
3,04/18/2023,250.86,251.29,248.38,249.58,"708,532",-0.001320475371133556
4,04/17/2023,248.25,249.98,247.8,249.91,"822,226",0.007782885716590027
5,04/14/2023,249.48,251.05,246.62,247.98,"804,080",-0.005454399614983618
6,04/13/2023,248.35,249.91,246.85,249.34,"767,656",0.0069461271302802
7,04/12/2023,251.12,251.17,247.4,247.62,"853,072",-0.0056619684375376345
8,04/11/2023,247.98,250.03,247.47,249.03,"828,247",0.009281024560265916
9,04/10/2023,242.56,246.79,242.56,246.74,"709,097",0.012142095331856728
10,04/06/2023,243.85,244.5,242.51,243.78,"714,489",-0.0012291052114061785
11,04/05/2023,244.61,245.34,242.55,244.08,"967,678",-0.0068763478048582405
12,04/04/2023,250.56,250.78,244.41,245.77,"1,336,224",-0.017352364959417832
13,04/03/2023,250.27,251.59,248.14,250.11,"1,209,497",-0.00019987208186755812
14,03/31/2023,247.38,250.29,247.24,250.16,"1,317,418",0.017489628243715805
15,03/30/2023,247.22,247.92,245.08,245.86,"1,032,677",0.0029370971689648417
16,03/29/2023,244.65,245.29,243.14,245.14,"1,243,911",0.012264111987446924
17,03/28/2023,241.05,243.16,240.87,242.17,"974,622",0.002193345472603969
18,03/27/2023,242.04,242.88,239.87,241.64,"1,188,314",0.009694133377903924
19,03/24/2023,235.55,239.46,233.74,239.32,"959,444",0.008299978934063645
20,03/23/2023,240.0,242.92,235.57,237.35,"1,086,569",-0.008273095725567337
21,03/22/2023,245.67,246.52,239.32,239.33,"1,960,940",-0.02548963720021169
22,03/21/2023,245.07,246.81,244.44,245.59,"976,688",0.017610010773183138
23,03/20/2023,239.33,243.19,239.33,241.34,"1,663,612",0.017239199157007334
24,03/17/2023,240.2,241.58,236.39,237.25,"1,910,953",-0.02309972823849138
25,03/16/2023,237.0,243.94,236.05,242.86,"1,566,442",0.01390222519099904
26,03/15/2023,239.03,240.49,235.79,239.53,"1,242,353",-0.021807489688406068
27,03/14/2023,246.27,247.77,242.27,244.87,"1,174,319",0.01935725584880532
28,03/13/2023,240.04,244.09,237.67,240.22,"1,911,545",-0.018669063278728637
29,03/10/2023,250.83,251.2,242.98,244.79,"2,000,886",-0.028495455808231207
30,03/09/2023,258.22,259.04,251.86,251.97,"2,110,038",-0.024279739776951748
31,03/08/2023,258.22,259.4,256.56,258.24,"1,397,089",0.0009690298073568027
32,03/07/2023,261.05,262.0,257.58,257.99,"761,148",-0.012062495213295499
33,03/06/2023,264.05,264.59,260.48,261.14,"1,625,152",-0.012217725157922632
34,03/03/2023,262.52,264.69,261.06,264.37,"1,322,188",0.01112980953109477
35,03/02/2023,258.29,261.75,257.56,261.46,"2,207,913",0.004958296498443149
36,03/01/2023,259.1,260.94,258.39,260.17,"1,920,463",0.0032004318655050046
37,02/28/2023,259.94,261.83,259.33,259.34,"1,209,071",-0.0024617278252174746
38,02/27/2023,261.1,262.79,259.29,259.98,"1,243,034",0.002235929067077924
39,02/24/2023,257.79,259.9,256.68,259.4,"904,773",-0.006168346040381634
40,02/23/2023,261.33,262.56,257.98,261.01,"706,635",0.0043095155642771665
41,02/22/2023,259.78,261.62,258.96,259.89,"641,507",0.0016572882139829215
42,02/21/2023,263.08,263.68,259.08,259.46,"695,869",-0.024366398435737402
43,02/17/2023,265.34,266.22,263.8,265.94,"759,743",-0.0011268028846154188
44,02/16/2023,264.85,269.12,264.69,266.24,"1,778,005",-0.007640985500764086
45,02/15/2023,264.63,268.29,264.02,268.29,"748,037",0.007359291105020205
46,02/14/2023,264.78,267.99,263.58,266.33,"643,245",0.0002629009239090152
47,02/13/2023,263.38,266.27,262.39,266.26,"521,571",0.011933718455457543
48,02/10/2023,261.4,263.36,261.0,263.12,"632,298",0.002591068434689925
49,02/09/2023,267.53,268.57,261.75,262.44,"864,630",-0.012120755853346488
50,02/08/2023,267.3,268.29,265.08,265.66,"868,139",-0.011608006548106009
51,02/07/2023,266.11,269.46,264.08,268.78,"1,355,212",0.007081569185806824
52,02/06/2023,268.04,269.54,265.84,266.89,"1,100,863",-0.01082243059931065
53,02/03/2023,269.49,272.14,268.85,269.81,"1,184,790",-0.007029294862358371
54,02/02/2023,270.24,272.95,269.31,271.72,"1,097,397",0.011502810557272314
55,02/01/2023,263.78,270.34,262.92,268.63,"1,361,953",0.016421355329372833
56,01/31/2023,259.08,264.36,258.73,264.29,"1,398,955",0.02370531045435187
57,01/30/2023,258.91,261.62,258.0,258.17,"852,726",-0.010842911877394612
58,01/27/2023,258.93,261.92,258.93,261.0,"799,095",0.0038461538461538325
59,01/26/2023,259.57,260.29,257.15,260.0,"951,243",0.008572869389813276
60,01/25/2023,255.29,257.95,254.0,257.79,"786,131",0.0026837806301049927
61,01/24/2023,256.97,258.41,255.84,257.1,"737,402",-0.003449746114190466
