Date,Open,High,Low,Close,Volume
04/21/2023,"95.31","95.62","94.33","95.02","3,346,321"
04/20/2023,"95.02","95.74","94.75","95.21","5,263,676"
04/19/2023,"95.01","95.82","94.60","95.64","2,943,701"
04/18/2023,"96.26","96.35","94.85","95.35","3,325,532"
04/17/2023,"95.44","95.94","95.03","95.86","4,655,403"
04/14/2023,"96.08","96.77","94.69","95.28","3,198,731"
04/13/2023,"95.68","96.34","95.17","96.05","6,362,647"
04/12/2023,"96.79","96.80","95.13","95.24","3,138,692"
04/11/2023,"95.71","96.56","95.45","96.03","3,223,389"
04/10/2023,"93.93","95.44","93.84","95.37","3,557,878"
04/06/2023,"94.12","94.44","93.62","94.17","2,997,815"
04/05/2023,"94.45","94.64","93.57","94.14","3,439,044"
04/04/2023,"97.10","97.14","94.33","94.87","3,680,416"
04/03/2023,"96.86","97.39","95.65","96.79","7,170,316"
03/31/2023,"95.53","96.75","95.51","96.70","4,956,172"
03/30/2023,"95.66","95.90","94.53","94.93","3,171,393"
03/29/2023,"95.30","95.30","94.24","94.96","3,210,801"
03/28/2023,"93.89","94.71","93.71","94.32","2,812,939"
03/27/2023,"94.48","94.76","93.62","94.25","3,831,920"
03/24/2023,"91.38","93.42","90.83","93.25","4,181,134"
03/23/2023,"93.63","94.51","91.52","92.27","4,371,169"
03/22/2023,"95.84","96.33","93.34","93.37","4,381,874"
03/21/2023,"96.03","96.96","95.46","95.94","4,100,603"
03/20/2023,"93.90","95.54","93.90","94.36","7,469,468"
03/17/2023,"94.64","94.91","92.78","93.00","17,693,730"
03/16/2023,"93.14","96.40","92.49","95.72","7,780,979"
03/15/2023,"93.22","94.34","92.51","94.22","5,870,703"
03/14/2023,"96.48","97.23","94.66","95.75","5,148,475"
03/13/2023,"94.10","95.64","93.17","93.84","10,263,120"
03/10/2023,"98.13","98.16","95.18","96.17","6,754,481"
03/09/2023,"100.98","101.23","98.53","98.64","4,698,053"
03/08/2023,"100.85","101.29","100.10","100.94","3,360,286"
03/07/2023,"101.71","102.01","100.44","100.77","3,627,036"
03/06/2023,"104.19","104.19","101.30","101.78","5,170,075"
03/03/2023,"103.48","104.35","102.59","104.14","4,145,047"
03/02/2023,"101.79","103.15","101.48","102.94","3,391,948"
03/01/2023,"102.30","102.99","101.82","102.63","3,928,672"
02/28/2023,"102.39","103.35","102.31","102.39","2,500,942"
02/27/2023,"103.08","103.58","102.16","102.42","2,902,918"
02/24/2023,"101.60","102.25","101.15","102.19","3,262,213"
02/23/2023,"102.93","103.47","101.66","102.98","3,057,249"
02/22/2023,"102.21","102.99","101.84","102.35","3,623,867"
02/21/2023,"103.79","104.18","101.91","101.96","3,953,212"
02/17/2023,"104.95","105.27","104.13","105.10","2,652,511"
02/16/2023,"104.32","105.85","103.98","104.92","4,099,673"
02/15/2023,"103.76","105.66","103.67","105.62","2,357,836"
02/14/2023,"104.39","105.45","103.55","104.63","2,353,865"
02/13/2023,"104.06","104.99","103.16","104.97","3,389,855"
02/10/2023,"103.22","103.83","102.69","103.63","2,525,903"
02/09/2023,"105.67","105.95","103.13","103.39","2,397,074"
02/08/2023,"105.72","106.04","104.51","104.74","2,791,960"
02/07/2023,"105.19","106.62","104.44","106.35","3,397,162"
02/06/2023,"106.58","106.88","105.22","105.61","3,015,246"
02/03/2023,"106.55","108.24","106.41","107.39","5,536,840"
02/02/2023,"105.87","108.06","105.87","107.68","4,626,456"
02/01/2023,"103.44","106.19","102.99","105.25","4,187,765"
01/31/2023,"101.40","103.68","101.40","103.64","3,002,795"
01/30/2023,"101.28","102.36","101.04","101.09","2,719,456"
01/27/2023,"101.59","102.62","101.40","102.22","2,927,409"
01/26/2023,"101.85","102.40","100.58","101.81","5,868,042"
01/25/2023,"100.09","101.22","99.48","101.09","3,311,095"
01/24/2023,"100.75","101.34","100.34","100.84","2,415,366"
01/23/2023,"100.31","101.59","99.94","101.19","2,884,362"
