,Date,Open,High,Low,Close,Volume,daily_return_normalized
0,04/21/2023,95.31,95.62,94.33,95.02,"3,346,321",-0.0019955886986661175
1,04/20/2023,95.02,95.74,94.75,95.21,"5,263,676",-0.004496026767043193
2,04/19/2023,95.01,95.82,94.6,95.64,"2,943,701",0.0030414263240692296
3,04/18/2023,96.26,96.35,94.85,95.35,"3,325,532",-0.005320258710619696
4,04/17/2023,95.44,95.94,95.03,95.86,"4,655,403",0.006087321578505334
5,04/14/2023,96.08,96.77,94.69,95.28,"3,198,731",-0.008016657990629894
6,04/13/2023,95.68,96.34,95.17,96.05,"6,362,647",0.008504829903402067
7,04/12/2023,96.79,96.8,95.13,95.24,"3,138,692",-0.008226595855461927
8,04/11/2023,95.71,96.56,95.45,96.03,"3,223,389",0.006920415224913379
9,04/10/2023,93.93,95.44,93.84,95.37,"3,557,878",0.01274291175533615
10,04/06/2023,94.12,94.44,93.62,94.17,"2,997,815",0.00031867431485022024
11,04/05/2023,94.45,94.64,93.57,94.14,"3,439,044",-0.007694740170759995
12,04/04/2023,97.1,97.14,94.33,94.87,"3,680,416",-0.019836759995867315
13,04/03/2023,96.86,97.39,95.65,96.79,"7,170,316",0.0009307135470528749
14,03/31/2023,95.53,96.75,95.51,96.7,"4,956,172",0.018645317602443923
15,03/30/2023,95.66,95.9,94.53,94.93,"3,171,393",-0.0003159224936813976
16,03/29/2023,95.3,95.3,94.24,94.96,"3,210,801",0.006785411365564098
17,03/28/2023,93.89,94.71,93.71,94.32,"2,812,939",0.0007427055702917684
18,03/27/2023,94.48,94.76,93.62,94.25,"3,831,920",0.01072386058981234
19,03/24/2023,91.38,93.42,90.83,93.25,"4,181,134",0.010621003576460453
20,03/23/2023,93.63,94.51,91.52,92.27,"4,371,169",-0.011781086001927954
21,03/22/2023,95.84,96.33,93.34,93.37,"4,381,874",-0.026787575568063327
22,03/21/2023,96.03,96.96,95.46,95.94,"4,100,603",0.01674438321322591
23,03/20/2023,93.9,95.54,93.9,94.36,"7,469,468",0.014623655913978517
24,03/17/2023,94.64,94.91,92.78,93.0,"17,693,730",-0.028416213957375702
25,03/16/2023,93.14,96.4,92.49,95.72,"7,780,979",0.01592018679685836
26,03/15/2023,93.22,94.34,92.51,94.22,"5,870,703",-0.015979112271540474
27,03/14/2023,96.48,97.23,94.66,95.75,"5,148,475",0.020353793691389566
28,03/13/2023,94.1,95.64,93.17,93.84,"10,263,120",-0.02422792970780907
29,03/10/2023,98.13,98.16,95.18,96.17,"6,754,481",-0.025040551500405517
30,03/09/2023,100.98,101.23,98.53,98.64,"4,698,053",-0.022785813354467943
31,03/08/2023,100.85,101.29,100.1,100.94,"3,360,286",0.0016870100228243423
32,03/07/2023,101.71,102.01,100.44,100.77,"3,627,036",-0.009923364118687439
33,03/06/2023,104.19,104.19,101.3,101.78,"5,170,075",-0.022661801421163807
34,03/03/2023,103.48,104.35,102.59,104.14,"4,145,047",0.011657276083155255
35,03/02/2023,101.79,103.15,101.48,102.94,"3,391,948",0.003020559290655811
36,03/01/2023,102.3,102.99,101.82,102.63,"3,928,672",0.002343978904189914
37,02/28/2023,102.39,103.35,102.31,102.39,"2,500,942",-0.00029291154071475756
38,02/27/2023,103.08,103.58,102.16,102.42,"2,902,918",0.00225070946276551
39,02/24/2023,101.6,102.25,101.15,102.19,"3,262,213",-0.007671392503398766
40,02/23/2023,102.93,103.47,101.66,102.98,"3,057,249",0.006155349291646406
41,02/22/2023,102.21,102.99,101.84,102.35,"3,623,867",0.0038250294233033166
42,02/21/2023,103.79,104.18,101.91,101.96,"3,953,212",-0.02987630827783061
43,02/17/2023,104.95,105.27,104.13,105.1,"2,652,511",0.0017155928326342273
44,02/16/2023,104.32,105.85,103.98,104.92,"4,099,673",-0.0066275326642681875
45,02/15/2023,103.76,105.66,103.67,105.62,"2,357,836",0.009461913409156253
46,02/14/2023,104.39,105.45,103.55,104.63,"2,353,865",-0.0032390206725732007
47,02/13/2023,104.06,104.99,103.16,104.97,"3,389,855",0.012930618546752815
48,02/10/2023,103.22,103.83,102.69,103.63,"2,525,903",0.0023213076699872826
49,02/09/2023,105.67,105.95,103.13,103.39,"2,397,074",-0.012889058621348037
50,02/08/2023,105.72,106.04,104.51,104.74,"2,791,960",-0.015138692994828395
51,02/07/2023,105.19,106.62,104.44,106.35,"3,397,162",0.007006912224221118
52,02/06/2023,106.58,106.88,105.22,105.61,"3,015,246",-0.01657510010243035
53,02/03/2023,106.55,108.24,106.41,107.39,"5,536,840",-0.002693164933135317
54,02/02/2023,105.87,108.06,105.87,107.68,"4,626,456",0.02308788598574818
55,02/01/2023,103.44,106.19,102.99,105.25,"4,187,765",0.015534542647626326
56,01/31/2023,101.4,103.68,101.4,103.64,"3,002,795",0.025225046987832567
57,01/30/2023,101.28,102.36,101.04,101.09,"2,719,456",-0.011054588143220467
58,01/27/2023,101.59,102.62,101.4,102.22,"2,927,409",0.004027109321284694
59,01/26/2023,101.85,102.4,100.58,101.81,"5,868,042",0.007122366208329289
60,01/25/2023,100.09,101.22,99.48,101.09,"3,311,095",0.002479174930583028
61,01/24/2023,100.75,101.34,100.34,100.84,"2,415,366",-0.003458839806304903
