Date, Open, High, Low, Close, Volume
04/14/23, 15.64, 16.1872, 15.08, 15.58, 56858461
04/13/23, 15.39, 15.95, 15.04, 15.67, 59431398
04/12/23, 16.662, 16.74, 15.265, 15.33, 76962320
04/11/23, 16.72, 16.79, 16.11, 16.21, 52220191
04/10/23, 15.22, 16.50, 15.14, 16.39, 63177727
04/06/23, 15.45, 16.006, 15.09, 15.66, 65901141
04/05/23, 16.25, 16.31, 15.38, 15.92, 86953344
04/04/23, 17.87, 17.9004, 16.51, 16.79, 64093379
04/03/23, 17.92, 18.16, 17.13, 17.81, 57147246
03/31/23, 17.56, 18.34, 17.43, 18.30, 68287484
03/30/23, 17.76, 18.29, 17.58, 17.95, 80622156
03/29/23, 16.34, 17.465, 16.30, 17.08, 90012492
03/28/23, 15.87, 15.88, 14.90, 15.63, 75621562
03/27/23, 16.76, 16.92, 15.81, 15.97, 64605168
03/24/23, 17.10, 17.2185, 16.04, 16.57, 90861156
03/23/23, 17.02, 18.17, 16.625, 17.49, 97514391
03/22/23, 16.68, 18.02, 16.20, 16.24, 95074961
03/21/23, 17.01, 17.53, 15.94, 16.67, 76051312
03/20/23, 16.14, 16.79, 15.78, 16.61, 62536449
03/17/23, 16.49, 16.90, 15.83, 16.13, 79179203
03/16/23, 14.48, 16.52, 14.30, 16.42, 109806797
03/15/23, 14.60, 14.845, 13.75, 14.69, 126199695
03/14/23, 14.76, 15.54, 14.54, 15.22, 107012492
03/13/23, 13.61, 14.5431, 13.15, 14.02, 121199398
03/10/23, 15.112, 15.2499, 13.81, 14.05, 128656305
03/09/23, 15.75, 16.5399, 14.80, 14.91, 87945695
03/08/23, 14.86, 15.895, 14.85, 15.81, 71670195
03/07/23, 15.19, 15.42, 14.49, 14.65, 66744281
03/06/23, 15.83, 16.25, 15.04, 15.17, 56252672
03/03/23, 15.05, 15.77, 14.6505, 15.68, 72055219
03/02/23, 14.01, 15.24, 13.66, 15.01, 73798648
03/01/23, 14.81, 15.215, 14.48, 14.68, 63832609
02/28/23, 14.40, 15.27, 14.31, 14.65, 59300488
02/27/23, 14.96, 15.01, 14.50, 14.50, 61896910
02/24/23, 14.29, 14.54, 13.96, 14.31, 74689211
