,Date,Open,High,Low,Close,Volume,daily_return_normalized
0,04/14/23,15.64,16.1872,15.08,15.58,56858461,-0.00574345883854499
1,04/13/23,15.39,15.95,15.04,15.67,59431398,0.02217873450750152
2,04/12/23,16.662,16.74,15.265,15.33,76962320,-0.05428747686613211
3,04/11/23,16.72,16.79,16.11,16.21,52220191,-0.010982306284319732
4,04/10/23,15.22,16.5,15.14,16.39,63177727,0.04661558109833974
5,04/06/23,15.45,16.006,15.09,15.66,65901141,-0.01633165829145722
6,04/05/23,16.25,16.31,15.38,15.92,86953344,-0.051816557474687275
7,04/04/23,17.87,17.9004,16.51,16.79,64093379,-0.057271195957327325
8,04/03/23,17.92,18.16,17.13,17.81,57147246,-0.02677595628415308
9,03/31/23,17.56,18.34,17.43,18.3,68287484,0.019498607242339983
10,03/30/23,17.76,18.29,17.58,17.95,80622156,0.050936768149882905
11,03/29/23,16.34,17.465,16.3,17.08,90012492,0.09277031349968001
12,03/28/23,15.87,15.88,14.9,15.63,75621562,-0.02128991859737006
13,03/27/23,16.76,16.92,15.81,15.97,64605168,-0.03621001810500901
14,03/24/23,17.1,17.2185,16.04,16.57,90861156,-0.05260148656375063
15,03/23/23,17.02,18.17,16.625,17.49,97514391,0.07697044334975378
16,03/22/23,16.68,18.02,16.2,16.24,95074961,-0.025794841031793858
17,03/21/23,17.01,17.53,15.94,16.67,76051312,0.0036122817579773425
18,03/20/23,16.14,16.79,15.78,16.61,62536449,0.029758214507129566
19,03/17/23,16.49,16.9,15.83,16.13,79179203,-0.01766138855054833
20,03/16/23,14.48,16.52,14.3,16.42,109806797,0.11776718856364887
21,03/15/23,14.6,14.845,13.75,14.69,126199695,-0.034822601839684664
22,03/14/23,14.76,15.54,14.54,15.22,107012492,0.08559201141226835
23,03/13/23,13.61,14.5431,13.15,14.02,121199398,-0.002135231316726105
24,03/10/23,15.112,15.2499,13.81,14.05,128656305,-0.057679409792085856
25,03/09/23,15.75,16.5399,14.8,14.91,87945695,-0.05692599620493366
26,03/08/23,14.86,15.895,14.85,15.81,71670195,0.07918088737201368
27,03/07/23,15.19,15.42,14.49,14.65,66744281,-0.03427818061964405
28,03/06/23,15.83,16.25,15.04,15.17,56252672,-0.032525510204081565
29,03/03/23,15.05,15.77,14.6505,15.68,72055219,0.04463690872751491
30,03/02/23,14.01,15.24,13.66,15.01,73798648,0.022479564032697574
31,03/01/23,14.81,15.215,14.48,14.68,63832609,0.0020477815699657675
32,02/28/23,14.4,15.27,14.31,14.65,59300488,0.010344827586207028
33,02/27/23,14.96,15.01,14.5,14.5,61896910,0.01327742837176804
34,02/24/23,14.29,14.54,13.96,14.31,74689211,-0.051061007957559634
35,02/23/23,15.13,15.34,14.28,15.08,94198039,0.09038322487346351
36,02/22/23,14.11,14.41,13.54,13.83,70471477,-0.012847965738758016
37,02/21/23,14.789,15.31,13.89,14.01,68114430,-0.09612903225806457
38,02/17/23,15.98,16.12,15.04,15.5,82870992,-0.04791154791154795
39,02/16/23,16.65,17.165,16.18,16.28,81774117,-0.07183580387685284
40,02/15/23,16.81,17.59,16.43,17.54,74977234,0.012117714945181879
41,02/14/23,16.06,17.53,15.6707,17.33,111460797,0.05542021924482321
42,02/13/23,15.99,16.6199,15.57,16.42,60332273,0.03924050632911391
43,02/10/23,16.06,16.22,15.25,15.8,78447742,-0.0470446320868515
44,02/09/23,17.33,17.9,16.21,16.58,84793445,0.00545785324439052
45,02/08/23,17.33,17.69,16.35,16.49,72392875,-0.0625355315520183
46,02/07/23,16.22,17.85,16.13,17.59,119100898,0.09254658385093162
47,02/06/23,16.12,16.86,15.855,16.1,77254789,-0.049025398700531464
48,02/03/23,16.78,18.13,16.595,16.93,94867633,-0.05524553571428581
49,02/02/23,17.33,18.395,17.01,17.92,116420898,0.06666666666666665
50,02/01/23,14.73,17.28,14.68,16.8,150219906,0.1570247933884299
51,01/31/23,13.67,14.55,13.64,14.52,97363344,0.05217391304347818
52,01/30/23,14.35,14.62,13.7327,13.8,81286680,-0.07877169559412545
53,01/27/23,14.5,15.36,14.35,14.98,101402602,-0.017060367454068248
54,01/26/23,15.015,15.3,14.3,15.24,111443297,0.048864418444597435
55,01/25/23,13.71,14.63,13.331,14.53,93424781,0.006232686980609303
56,01/24/23,14.29,14.85,14.16,14.44,75815969,-0.020352781546811416
57,01/23/23,13.18,14.91,13.13,14.74,125178203,0.15246286161063338
58,01/20/23,12.11,12.86,11.75,12.79,89921570,0.086661002548853
59,01/19/23,12.48,12.52,11.62,11.77,99618414,-0.08190327613104531
60,01/18/23,13.45,13.76,12.81,12.82,82050406,-0.018376722817764146
61,01/17/23,12.88,13.43,12.67,13.06,74500484,0.008494208494208566
62,01/13/23,12.365,13.0,12.27,12.95,74389773,0.010140405616224646
63,01/12/23,12.59,13.08,11.82,12.82,135343391,0.03387096774193554
64,01/11/23,11.98,12.43,11.6501,12.4,80469375,0.035923141186299024
65,01/10/23,11.38,11.99,11.19,11.97,90401430,0.038161318300086844
66,01/09/23,11.528,12.27,11.28,11.53,136968297,0.060717571297148165
67,01/06/23,9.95,11.0699,9.56,10.87,123492602,0.13584117032392884
68,01/05/23,9.8,10.0,9.53,9.57,83312812,-0.04965243296921551
69,01/04/23,9.88,10.27,9.58,10.07,114576602,0.07585470085470103
70,01/03/23,10.17,10.21,9.19,9.36,97509789,-0.03205791106514999
71,12/30/22,9.27,9.7,9.06,9.67,64369809,0.0
72,12/29/22,9.28,9.83,9.18,9.67,90966016,0.09142212189616261
73,12/28/22,9.1,9.4299,8.74,8.86,83917328,-0.0442286947141316
74,12/27/22,9.58,9.59,9.13,9.27,78142070,-0.051177072671443224
75,12/23/22,9.59,9.81,9.23,9.77,92378625,-0.0010224948875255935
76,12/22/22,10.54,10.56,9.11,9.78,135617297,-0.12208258527827653
77,12/21/22,10.63,11.27,10.595,11.14,83240398,0.07012487992315086
78,12/20/22,10.25,10.75,10.16,10.41,88303961,-0.026192703461178635
79,12/19/22,11.12,11.15,10.345,10.69,82876828,-0.03780378037803778
80,12/16/22,11.2,11.48,10.77,11.11,88813766,-0.02543859649122815
81,12/15/22,12.23,12.38,11.32,11.4,107181695,-0.12307692307692308
82,12/14/22,13.51,14.03,12.54,13.0,139612297,-0.04622157006603089
83,12/13/22,14.72,14.91,13.14,13.63,180078891,0.0500770416024654
84,12/12/22,12.142,13.01,11.94,12.98,73482156,0.0535714285714286
85,12/09/22,12.491,12.99,12.18,12.32,88787375,-0.023771790808240767
86,12/08/22,11.89,12.72,11.65,12.62,101888305,0.07863247863247858
87,12/07/22,11.408,11.93,11.33,11.7,86276680,-0.0017064846416383617
88,12/06/22,12.54,12.6,11.38,11.72,86923406,-0.06910246227164407
89,12/05/22,12.8,13.16,12.2,12.59,71095078,-0.033768227168073595
90,12/02/22,12.49,13.13,12.3,13.03,98017711,-0.034814814814814854
91,12/01/22,14.09,14.13,12.94,13.5,112133906,-0.02315484804630974
92,11/30/22,11.835,13.85,11.52,13.82,133385797,0.17817561807331628
93,11/29/22,11.95,12.18,11.5,11.73,75055953,-0.00929054054054046
94,11/28/22,12.36,12.76,11.6,11.84,88545617,-0.07931570762052875
95,11/25/22,13.13,13.26,12.83,12.86,41754512,-0.03453453453453459
96,11/23/22,12.9,13.75,12.84,13.32,113790602,0.032558139534883734
97,11/22/22,12.139,12.94,11.85,12.9,86949641,0.08494533221194289
98,11/21/22,12.07,12.2,11.74,11.89,84238203,-0.048038430744595684
99,11/18/22,12.99,13.03,12.07,12.49,117064094,0.009700889248181133
100,11/17/22,11.34,12.58,11.31,12.37,128795398,0.01978565539983501
101,11/16/22,12.928,12.99,11.87,12.13,112310398,-0.12545061283345338
102,11/15/22,14.34,14.44,13.31,13.87,159797703,0.08613938919342212
103,11/14/22,12.988,13.51,12.7269,12.77,108739602,-0.03403933434190631
104,11/11/22,12.28,13.41,11.83,13.22,166468406,0.0943708609271523
105,11/10/22,10.8,12.17,10.56,12.08,196270297,0.3073593073593073
106,11/09/22,9.739,9.82,9.18,9.24,107444898,-0.09144542772861353
