Date,Open,High,Low,Close,Volume
04/21/2023,"418.44","418.44","413.14","416.81","719,223"
04/20/2023,"416.07","426.19","415.65","419.89","797,304"
04/19/2023,"419.29","421.29","417.71","420.28","421,470"
04/18/2023,"426.40","430.08","421.71","424.93","921,792"
04/17/2023,"418.55","423.37","417.29","423.10","735,526"
04/14/2023,"423.36","428.48","418.49","423.10","654,540"
04/13/2023,"421.25","426.25","417.88","423.76","1,004,495"
04/12/2023,"432.37","432.50","419.89","420.30","866,311"
04/11/2023,"432.77","433.07","427.31","428.13","607,743"
04/10/2023,"419.28","430.69","418.61","430.39","642,412"
04/06/2023,"421.23","426.04","417.97","422.92","631,582"
04/05/2023,"427.99","428.35","420.62","425.11","1,114,630"
04/04/2023,"441.63","441.76","430.19","432.61","774,860"
04/03/2023,"442.07","443.75","435.38","440.83","625,709"
03/31/2023,"438.57","445.34","437.86","444.67","717,031"
03/30/2023,"440.28","444.82","438.80","441.93","867,459"
03/29/2023,"428.26","437.80","427.46","434.77","1,046,756"
03/28/2023,"423.43","423.78","414.81","421.23","912,740"
03/27/2023,"431.00","432.32","422.92","424.41","602,077"
03/24/2023,"433.49","434.67","425.10","429.45","1,041,044"
03/23/2023,"432.83","442.89","429.40","437.03","1,346,644"
03/22/2023,"430.80","442.25","426.40","426.51","1,104,360"
03/21/2023,"433.44","438.00","424.40","430.79","966,502"
03/20/2023,"426.27","431.32","422.75","429.94","718,553"
03/17/2023,"428.91","432.23","423.12","425.44","942,805"
03/16/2023,"410.20","429.03","408.41","428.09","1,280,719"
03/15/2023,"410.90","412.94","403.29","412.00","1,175,651"
03/14/2023,"412.08","419.44","410.12","416.86","914,354"
03/13/2023,"400.67","410.00","396.48","405.02","1,170,910"
03/10/2023,"415.10","416.17","402.98","404.90","1,106,933"
03/09/2023,"420.71","427.23","412.25","412.88","1,296,556"
03/08/2023,"411.99","421.71","411.99","421.25","696,072"
03/07/2023,"415.15","416.90","408.69","410.34","632,950"
03/06/2023,"420.76","424.38","413.72","414.71","725,720"
03/03/2023,"413.13","420.05","410.02","419.59","803,126"
03/02/2023,"403.56","415.19","400.43","413.22","1,036,936"
03/01/2023,"411.34","414.94","408.32","409.94","640,804"
02/28/2023,"407.48","415.37","406.60","409.83","527,471"
02/27/2023,"413.07","413.13","408.28","408.43","680,272"
02/24/2023,"406.35","408.42","403.23","406.28","947,453"
02/23/2023,"414.00","415.66","405.57","413.69","1,539,086"
02/22/2023,"403.39","406.41","398.10","400.52","761,881"
02/21/2023,"409.45","414.28","401.67","402.45","736,166"
02/17/2023,"420.00","421.23","412.15","415.92","1,021,544"
02/16/2023,"425.32","429.78","421.81","422.50","1,148,265"
02/15/2023,"426.87","433.34","423.72","433.12","715,711"
02/14/2023,"419.93","432.66","416.78","431.36","1,084,005"
02/13/2023,"419.50","424.89","415.84","423.67","707,514"
02/10/2023,"419.94","421.16","412.99","417.53","982,687"
02/09/2023,"430.73","435.56","421.14","424.28","1,005,222"
02/08/2023,"429.62","433.15","422.21","423.20","1,173,955"
02/07/2023,"420.79","434.57","419.73","432.50","1,095,147"
02/06/2023,"419.43","425.62","417.29","419.17","832,122"
02/03/2023,"424.91","435.88","423.83","426.09","1,851,901"
02/02/2023,"429.08","438.11","426.64","434.57","2,485,359"
02/01/2023,"405.68","429.02","405.32","424.73","2,414,734"
01/31/2023,"395.53","403.87","395.15","403.68","1,034,812"
01/30/2023,"401.55","403.98","395.97","396.29","1,461,527"
01/27/2023,"402.63","410.62","401.59","407.10","1,430,049"
01/26/2023,"407.54","410.23","400.80","409.71","1,298,942"
01/25/2023,"394.76","403.64","391.73","402.92","1,100,375"
01/24/2023,"399.95","405.60","399.40","401.83","790,095"
01/23/2023,"389.13","406.24","388.51","404.89","1,908,852"
