,Date,Open,High,Low,Close,Volume,daily_return_normalized
0,04/21/2023,418.44,418.44,413.14,416.81,"719,223",-0.007335254471409147
1,04/20/2023,416.07,426.19,415.65,419.89,"797,304",-0.0009279527933757636
2,04/19/2023,419.29,421.29,417.71,420.28,"421,470",-0.010942978843574314
3,04/18/2023,426.4,430.08,421.71,424.93,"921,792",0.004325218624438687
4,04/17/2023,418.55,423.37,417.29,423.1,"735,526",0.0
5,04/14/2023,423.36,428.48,418.49,423.1,"654,540",-0.0015574853690767387
6,04/13/2023,421.25,426.25,417.88,423.76,"1,004,495",0.008232215084463368
7,04/12/2023,432.37,432.5,419.89,420.3,"866,311",-0.018288837502627664
8,04/11/2023,432.77,433.07,427.31,428.13,"607,743",-0.005251051372011428
9,04/10/2023,419.28,430.69,418.61,430.39,"642,412",0.017662914972098598
10,04/06/2023,421.23,426.04,417.97,422.92,"631,582",-0.005151607819152693
11,04/05/2023,427.99,428.35,420.62,425.11,"1,114,630",-0.017336631145835724
12,04/04/2023,441.63,441.76,430.19,432.61,"774,860",-0.018646643830955156
13,04/03/2023,442.07,443.75,435.38,440.83,"625,709",-0.008635617424157305
14,03/31/2023,438.57,445.34,437.86,444.67,"717,031",0.006200076935261256
15,03/30/2023,440.28,444.82,438.8,441.93,"867,459",0.016468477585850128
16,03/29/2023,428.26,437.8,427.46,434.77,"1,046,756",0.032143959357120666
17,03/28/2023,423.43,423.78,414.81,421.23,"912,740",-0.007492754647628441
18,03/27/2023,431.0,432.32,422.92,424.41,"602,077",-0.01173594132029332
19,03/24/2023,433.49,434.67,425.1,429.45,"1,041,044",-0.017344347069995214
20,03/23/2023,432.83,442.89,429.4,437.03,"1,346,644",0.024665306792337693
21,03/22/2023,430.8,442.25,426.4,426.51,"1,104,360",-0.009935235265442599
22,03/21/2023,433.44,438.0,424.4,430.79,"966,502",0.0019770200493092194
23,03/20/2023,426.27,431.32,422.75,429.94,"718,553",0.010577284693493727
24,03/17/2023,428.91,432.23,423.12,425.44,"942,805",-0.006190287089163471
25,03/16/2023,410.2,429.03,408.41,428.09,"1,280,719",0.039053398058252364
26,03/15/2023,410.9,412.94,403.29,412.0,"1,175,651",-0.011658590414047931
27,03/14/2023,412.08,419.44,410.12,416.86,"914,354",0.029233124290158674
28,03/13/2023,400.67,410.0,396.48,405.02,"1,170,910",0.00029636947394418023
29,03/10/2023,415.1,416.17,402.98,404.9,"1,106,933",-0.019327649680294545
30,03/09/2023,420.71,427.23,412.25,412.88,"1,296,556",-0.01986943620178039
31,03/08/2023,411.99,421.71,411.99,421.25,"696,072",0.02658770775454511
32,03/07/2023,415.15,416.9,408.69,410.34,"632,950",-0.010537484024981336
33,03/06/2023,420.76,424.38,413.72,414.71,"725,720",-0.01163040110584146
34,03/03/2023,413.13,420.05,410.02,419.59,"803,126",0.015415517157930214
35,03/02/2023,403.56,415.19,400.43,413.22,"1,036,936",0.008001170903058963
36,03/01/2023,411.34,414.94,408.32,409.94,"640,804",0.00026840397237881675
37,02/28/2023,407.48,415.37,406.6,409.83,"527,471",0.003427759958866794
38,02/27/2023,413.07,413.13,408.28,408.43,"680,272",0.00529191690459796
39,02/24/2023,406.35,408.42,403.23,406.28,"947,453",-0.017911963064130232
40,02/23/2023,414.0,415.66,405.57,413.69,"1,539,086",0.03288225307100778
41,02/22/2023,403.39,406.41,398.1,400.52,"761,881",-0.004795626785936147
42,02/21/2023,409.45,414.28,401.67,402.45,"736,166",-0.03238603577611088
43,02/17/2023,420.0,421.23,412.15,415.92,"1,021,544",-0.015573964497041404
44,02/16/2023,425.32,429.78,421.81,422.5,"1,148,265",-0.024519763575914344
45,02/15/2023,426.87,433.34,423.72,433.12,"715,711",0.004080118694361978
46,02/14/2023,419.93,432.66,416.78,431.36,"1,084,005",0.018150919347605488
47,02/13/2023,419.5,424.89,415.84,423.67,"707,514",0.014705530141546852
48,02/10/2023,419.94,421.16,412.99,417.53,"982,687",-0.015909305175827337
49,02/09/2023,430.73,435.56,421.14,424.28,"1,005,222",0.0025519848771267117
50,02/08/2023,429.62,433.15,422.21,423.2,"1,173,955",-0.02150289017341045
51,02/07/2023,420.79,434.57,419.73,432.5,"1,095,147",0.031800939952763674
52,02/06/2023,419.43,425.62,417.29,419.17,"832,122",-0.016240700321528245
53,02/03/2023,424.91,435.88,423.83,426.09,"1,851,901",-0.01951354212209777
54,02/02/2023,429.08,438.11,426.64,434.57,"2,485,359",0.023167659454241374
55,02/01/2023,405.68,429.02,405.32,424.73,"2,414,734",0.05214526357510896
56,01/31/2023,395.53,403.87,395.15,403.68,"1,034,812",0.018647959827399196
57,01/30/2023,401.55,403.98,395.97,396.29,"1,461,527",-0.02655367231638417
58,01/27/2023,402.63,410.62,401.59,407.1,"1,430,049",-0.00637035952258902
59,01/26/2023,407.54,410.23,400.8,409.71,"1,298,942",0.016851980542043066
60,01/25/2023,394.76,403.64,391.73,402.92,"1,100,375",0.002712589901202156
61,01/24/2023,399.95,405.6,399.4,401.83,"790,095",-0.007557608239274871
