,Date,Open,High,Low,Close,Volume,daily_return_normalized
0,04/21/2023,412.19,412.68,410.17,412.2,"73,457,422",0.0007769253180538449
1,04/20/2023,411.21,413.7,410.27,411.88,"75,840,359",-0.005457091804703662
2,04/19/2023,412.22,415.08,412.16,414.14,"55,227,328",-0.00016899640279088857
3,04/18/2023,415.58,415.72,412.78,414.21,"63,560,000",0.0006522684447021199
4,04/17/2023,412.37,413.96,411.09,413.94,"66,436,398",0.0035882267371381005
5,04/14/2023,412.81,415.09,410.06,412.46,"78,161,508",-0.002442740706701918
6,04/13/2023,409.18,413.84,407.99,413.47,"85,814,750",0.01328268594534987
7,04/12/2023,411.87,412.17,407.44,408.05,"86,420,383",-0.004075954310260754
8,04/11/2023,410.26,411.18,408.92,409.72,"59,297,953",0.00026854813114907117
9,04/10/2023,406.61,409.69,405.97,409.61,"63,681,039",0.0010264180454067073
10,04/06/2023,406.77,409.48,405.68,409.19,"63,743,352",0.003900883218841855
11,04/05/2023,407.91,408.7,405.88,407.6,"65,200,238",-0.002618249443316123
12,04/04/2023,411.62,411.92,407.24,408.67,"66,601,531",-0.00554812020927109
13,04/03/2023,408.85,411.37,408.44,410.95,"67,391,102",0.003810547399790032
14,03/31/2023,404.66,409.7,404.55,409.39,"112,062,602",0.014094624721327609
15,03/30/2023,404.09,404.35,401.76,403.7,"69,840,047",0.005855238569826726
16,03/29/2023,399.93,401.6,398.68,401.35,"77,497,883",0.014534883720930258
17,03/28/2023,395.77,396.49,393.69,395.6,"62,871,680",-0.0022446972180887315
18,03/27/2023,398.12,398.92,395.56,396.49,"74,010,406",0.0018698673404926591
19,03/24/2023,391.84,395.84,389.4,395.75,"107,770,094",0.006562046951700262
20,03/23/2023,395.09,399.29,390.35,393.17,"119,351,297",0.002703323047104078
21,03/22/2023,398.73,402.49,392.07,392.11,"111,746,602",-0.017046451580557065
22,03/21/2023,397.24,399.41,395.58,398.91,"91,524,250",0.013130492202976685
23,03/20/2023,390.8,394.17,390.07,393.74,"93,055,773",0.009615631170029948
24,03/17/2023,393.22,394.4,388.55,389.99,"140,553,406",-0.015450253717401718
25,03/16/2023,386.82,396.47,386.29,396.11,"143,753,906",0.017545211672832073
26,03/15/2023,385.89,389.49,383.71,389.28,"172,996,891",-0.006254307814055671
27,03/14/2023,390.5,393.45,387.05,391.73,"149,752,406",0.016529997924019213
28,03/13/2023,381.81,390.39,380.65,385.36,"157,790,000",-0.0014252027674847012
29,03/10/2023,390.99,393.16,384.32,385.91,"189,252,984",-0.01442946164061698
30,03/09/2023,399.74,401.48,390.53,391.56,"111,945,297",-0.018449814499147732
31,03/08/2023,398.39,399.71,396.59,398.92,"74,746,633",0.0016320586536773263
32,03/07/2023,404.42,404.67,397.63,398.27,"108,310,602",-0.015328701757856056
33,03/06/2023,405.05,407.45,404.01,404.47,"72,795,953",0.0006927435117147773
34,03/03/2023,399.71,404.45,399.03,404.19,"90,119,953",0.016037806993288273
35,03/02/2023,392.68,398.69,392.33,397.81,"85,404,727",0.0077772711151644636
36,03/01/2023,395.41,396.69,393.38,394.74,"99,706,812",-0.0038358653409377164
37,02/28/2023,397.23,399.28,396.15,396.26,"96,438,570",-0.0036959746561738838
38,02/27/2023,399.87,401.29,396.75,397.73,"80,444,734",0.003405822695393468
39,02/24/2023,395.42,397.25,393.64,396.38,"108,194,398",-0.010682374082763513
40,02/23/2023,401.56,402.2,396.25,400.66,"96,242,398",0.005319415867917954
41,02/22/2023,399.52,401.13,397.02,398.54,"83,742,289",-0.0013781352577111328
42,02/21/2023,403.06,404.16,398.82,399.09,"82,655,922",-0.020060894760104198
43,02/17/2023,406.06,407.51,404.05,407.26,"89,257,820",-0.0024982854903496943
44,02/16/2023,408.79,412.91,408.14,408.28,"76,431,469",-0.013768781100536365
45,02/15/2023,410.35,414.06,409.47,413.98,"61,685,281",0.003247382706475399
46,02/14/2023,411.24,415.05,408.51,412.64,"88,389,312",-0.0004602378703097987
47,02/13/2023,408.72,412.97,408.24,412.83,"64,913,539",0.011739045191647701
48,02/10/2023,405.86,408.44,405.01,408.04,"70,769,719",0.002333636296642183
49,02/09/2023,414.41,414.57,405.81,407.09,"78,694,867",-0.008669183002556924
50,02/08/2023,413.13,414.53,409.93,410.65,"76,227,453",-0.010934752763794964
51,02/07/2023,408.87,416.49,407.57,415.19,"90,990,750",0.013078593563184748
52,02/06/2023,409.79,411.29,408.1,409.83,"60,295,328",-0.006111313204801849
53,02/03/2023,411.59,416.97,411.09,412.35,"94,736,781",-0.010629108882383886
54,02/02/2023,414.86,418.31,412.88,416.78,"101,654,492",0.014556962025316311
55,02/01/2023,405.21,413.67,402.35,410.8,"101,459,203",0.010627829167486613
56,01/31/2023,401.13,406.53,400.77,406.48,"86,811,789",0.014703312613894681
57,01/30/2023,402.8,405.13,400.28,400.59,"74,202,016",-0.012546834943798157
58,01/27/2023,403.66,408.16,403.44,405.68,"68,346,180",0.002297714638665793
59,01/26/2023,403.13,404.92,400.03,404.75,"72,287,430",0.010990383414512195
60,01/25/2023,395.95,400.7,393.56,400.35,"84,800,250",0.0003748125937033109
61,01/24/2023,398.88,401.15,397.64,400.2,"59,524,910",-0.0010733095374785284
