Date,Open,High,Low,Close,Volume
04/21/2023,"46.28","46.44","46.06","46.40","9,023,163"
04/20/2023,"46.14","46.36","46.12","46.25","12,788,430"
04/19/2023,"46.16","46.31","46.15","46.23","8,441,944"
04/18/2023,"46.43","46.50","46.31","46.41","7,959,673"
04/17/2023,"46.15","46.23","45.97","46.23","10,834,010"
04/14/2023,"46.46","46.57","46.08","46.27","7,888,907"
04/13/2023,"46.25","46.51","46.20","46.50","14,720,340"
04/12/2023,"45.96","46.06","45.70","45.83","7,301,727"
04/11/2023,"45.51","45.66","45.47","45.57","7,648,297"
04/10/2023,"45.08","45.38","45.07","45.37","8,281,422"
04/06/2023,"45.11","45.44","45.05","45.33","9,567,506"
04/05/2023,"45.28","45.38","45.02","45.18","7,993,871"
04/04/2023,"45.54","45.69","45.38","45.53","7,943,911"
04/03/2023,"45.26","45.55","45.22","45.54","9,184,120"
03/31/2023,"45.04","45.24","45.02","45.17","9,553,332"
03/30/2023,"44.93","44.98","44.82","44.96","7,170,860"
03/29/2023,"44.32","44.44","44.25","44.41","10,685,130"
03/28/2023,"43.83","44.00","43.79","43.91","7,671,382"
03/27/2023,"43.73","43.90","43.61","43.85","24,343,270"
03/24/2023,"43.30","43.50","43.06","43.47","10,299,960"
03/23/2023,"44.01","44.27","43.43","43.62","11,507,210"
03/22/2023,"43.82","44.36","43.57","43.59","8,479,260"
03/21/2023,"43.75","43.83","43.51","43.76","6,731,094"
03/20/2023,"42.98","43.31","42.91","43.20","8,755,283"
03/17/2023,"42.88","42.95","42.55","42.71","9,922,535"
03/16/2023,"42.38","43.21","42.32","43.21","17,464,090"
03/15/2023,"42.32","42.62","42.02","42.55","19,880,830"
03/14/2023,"43.72","43.90","43.53","43.86","10,302,700"
03/13/2023,"43.19","43.72","43.09","43.35","16,105,790"
03/10/2023,"44.10","44.21","43.57","43.60","13,449,610"
03/09/2023,"44.53","44.67","44.00","44.03","8,120,168"
03/08/2023,"44.38","44.62","44.28","44.47","9,292,480"
03/07/2023,"44.95","44.98","44.18","44.24","9,698,444"
03/06/2023,"45.08","45.23","44.99","45.06","8,510,381"
03/03/2023,"44.75","45.20","44.65","45.17","8,819,578"
03/02/2023,"44.15","44.56","44.12","44.52","11,802,390"
03/01/2023,"44.56","44.64","44.28","44.45","11,018,380"
02/28/2023,"44.36","44.46","44.17","44.17","8,185,282"
02/27/2023,"44.47","44.62","44.35","44.49","8,274,018"
02/24/2023,"43.97","44.10","43.81","44.00","9,836,948"
02/23/2023,"44.69","44.79","44.31","44.70","9,051,195"
02/22/2023,"44.63","44.71","44.35","44.44","8,127,457"
02/21/2023,"44.96","45.07","44.68","44.70","8,322,922"
02/17/2023,"44.97","45.31","44.87","45.27","6,358,740"
02/16/2023,"45.04","45.48","44.98","45.20","8,804,658"
02/15/2023,"45.04","45.41","45.02","45.41","10,172,290"
02/14/2023,"45.36","45.88","45.25","45.64","10,336,640"
02/13/2023,"45.23","45.60","45.17","45.60","6,772,907"
02/10/2023,"45.21","45.26","45.00","45.21","7,798,482"
02/09/2023,"45.95","45.97","45.25","45.34","9,026,394"
02/08/2023,"45.53","45.59","45.22","45.30","9,659,004"
02/07/2023,"44.98","45.65","44.88","45.57","11,438,140"
02/06/2023,"45.20","45.29","44.93","45.15","8,634,881"
02/03/2023,"45.67","46.03","45.56","45.64","13,632,660"
02/02/2023,"46.32","46.37","45.87","46.16","10,567,070"
02/01/2023,"45.75","46.35","45.39","46.17","13,761,790"
01/31/2023,"45.36","45.77","45.26","45.76","14,919,650"
01/30/2023,"45.64","45.83","45.48","45.48","13,995,030"
01/27/2023,"45.65","45.96","45.61","45.86","11,993,640"
01/26/2023,"45.86","45.93","45.51","45.91","15,609,090"
01/25/2023,"45.38","45.80","45.29","45.77","9,955,245"
01/24/2023,"45.30","45.61","45.17","45.54","8,094,303"
01/23/2023,"45.20","45.60","45.16","45.55","14,611,010"
