,Date,Open,High,Low,Close,Volume,daily_return_normalized
0,04/21/2023,46.28,46.44,46.06,46.4,"9,023,163",0.00324324324324321
1,04/20/2023,46.14,46.36,46.12,46.25,"12,788,430",0.00043261951113993113
2,04/19/2023,46.16,46.31,46.15,46.23,"8,441,944",-0.003878474466709747
3,04/18/2023,46.43,46.5,46.31,46.41,"7,959,673",0.0038935756002596023
4,04/17/2023,46.15,46.23,45.97,46.23,"10,834,010",-0.0008644910309056897
5,04/14/2023,46.46,46.57,46.08,46.27,"7,888,907",-0.004946236559139727
6,04/13/2023,46.25,46.51,46.2,46.5,"14,720,340",0.01461924503600276
7,04/12/2023,45.96,46.06,45.7,45.83,"7,301,727",0.005705508009655524
8,04/11/2023,45.51,45.66,45.47,45.57,"7,648,297",0.004408199250606204
9,04/10/2023,45.08,45.38,45.07,45.37,"8,281,422",0.0008824178248401093
10,04/06/2023,45.11,45.44,45.05,45.33,"9,567,506",0.0033200531208499307
11,04/05/2023,45.28,45.38,45.02,45.18,"7,993,871",-0.007687239182956329
12,04/04/2023,45.54,45.69,45.38,45.53,"7,943,911",-0.0002195871761089263
13,04/03/2023,45.26,45.55,45.22,45.54,"9,184,120",0.00819127739650205
14,03/31/2023,45.04,45.24,45.02,45.17,"9,553,332",0.004670818505338126
15,03/30/2023,44.93,44.98,44.82,44.96,"7,170,860",0.012384598063499341
16,03/29/2023,44.32,44.44,44.25,44.41,"10,685,130",0.011386927806877667
17,03/28/2023,43.83,44.0,43.79,43.91,"7,671,382",0.00136830102622576
18,03/27/2023,43.73,43.9,43.61,43.85,"24,343,270",0.008741660915573934
19,03/24/2023,43.3,43.5,43.06,43.47,"10,299,960",-0.00343878954607979
20,03/23/2023,44.01,44.27,43.43,43.62,"11,507,210",0.0006882312456983897
21,03/22/2023,43.82,44.36,43.57,43.59,"8,479,260",-0.003884826325411206
22,03/21/2023,43.75,43.83,43.51,43.76,"6,731,094",0.012962962962962843
23,03/20/2023,42.98,43.31,42.91,43.2,"8,755,283",0.011472723015687247
24,03/17/2023,42.88,42.95,42.55,42.71,"9,922,535",-0.01157139551029851
25,03/16/2023,42.38,43.21,42.32,43.21,"17,464,090",0.015511163337250444
26,03/15/2023,42.32,42.62,42.02,42.55,"19,880,830",-0.029867761057911557
27,03/14/2023,43.72,43.9,43.53,43.86,"10,302,700",0.0117647058823529
28,03/13/2023,43.19,43.72,43.09,43.35,"16,105,790",-0.005733944954128489
29,03/10/2023,44.1,44.21,43.57,43.6,"13,449,610",-0.009766068589597943
30,03/09/2023,44.53,44.67,44.0,44.03,"8,120,168",-0.009894310771306425
31,03/08/2023,44.38,44.62,44.28,44.47,"9,292,480",0.00519891500904146
32,03/07/2023,44.95,44.98,44.18,44.24,"9,698,444",-0.018197958277851756
33,03/06/2023,45.08,45.23,44.99,45.06,"8,510,381",-0.0024352446313925524
34,03/03/2023,44.75,45.2,44.65,45.17,"8,819,578",0.01460017969451921
35,03/02/2023,44.15,44.56,44.12,44.52,"11,802,390",0.0015748031496063408
36,03/01/2023,44.56,44.64,44.28,44.45,"11,018,380",0.006339144215530945
37,02/28/2023,44.36,44.46,44.17,44.17,"8,185,282",-0.007192627556754316
38,02/27/2023,44.47,44.62,44.35,44.49,"8,274,018",0.011136363636363722
39,02/24/2023,43.97,44.1,43.81,44.0,"9,836,948",-0.015659955257270708
40,02/23/2023,44.69,44.79,44.31,44.7,"9,051,195",0.005850585058505997
41,02/22/2023,44.63,44.71,44.35,44.44,"8,127,457",-0.005816554809843555
42,02/21/2023,44.96,45.07,44.68,44.7,"8,322,922",-0.012591119946984808
43,02/17/2023,44.97,45.31,44.87,45.27,"6,358,740",0.0015486725663715895
44,02/16/2023,45.04,45.48,44.98,45.2,"8,804,658",-0.004624532041400453
45,02/15/2023,45.04,45.41,45.02,45.41,"10,172,290",-0.005039439088518893
46,02/14/2023,45.36,45.88,45.25,45.64,"10,336,640",0.0008771929824560321
47,02/13/2023,45.23,45.6,45.17,45.6,"6,772,907",0.00862641008626408
48,02/10/2023,45.21,45.26,45.0,45.21,"7,798,482",-0.0028672254080283066
49,02/09/2023,45.95,45.97,45.25,45.34,"9,026,394",0.0008830022075057009
50,02/08/2023,45.53,45.59,45.22,45.3,"9,659,004",-0.00592495062541154
51,02/07/2023,44.98,45.65,44.88,45.57,"11,438,140",0.009302325581395321
52,02/06/2023,45.2,45.29,44.93,45.15,"8,634,881",-0.010736196319018454
53,02/03/2023,45.67,46.03,45.56,45.64,"13,632,660",-0.011265164644713943
54,02/02/2023,46.32,46.37,45.87,46.16,"10,567,070",-0.00021659085986580617
55,02/01/2023,45.75,46.35,45.39,46.17,"13,761,790",0.008959790209790208
56,01/31/2023,45.36,45.77,45.26,45.76,"14,919,650",0.006156552330694787
57,01/30/2023,45.64,45.83,45.48,45.48,"13,995,030",-0.00828608809419984
58,01/27/2023,45.65,45.96,45.61,45.86,"11,993,640",-0.001089087344804951
59,01/26/2023,45.86,45.93,45.51,45.91,"15,609,090",0.0030587721214767605
60,01/25/2023,45.38,45.8,45.29,45.77,"9,955,245",0.005050505050505194
61,01/24/2023,45.3,45.61,45.17,45.54,"8,094,303",-0.0002195389681668436
