Date,Open,High,Low,Close,Volume
04/21/2023,"40.02","40.02","39.76","39.95","6,920,597"
04/20/2023,"40.35","40.57","40.23","40.33","6,724,266"
04/19/2023,"40.37","40.45","40.27","40.38","6,359,265"
04/18/2023,"40.90","40.95","40.69","40.80","8,100,675"
04/17/2023,"40.88","40.93","40.73","40.88","14,731,730"
04/14/2023,"40.70","40.85","40.50","40.66","6,061,648"
04/13/2023,"40.79","40.94","40.75","40.88","5,708,221"
04/12/2023,"40.78","40.82","40.34","40.39","7,865,561"
04/11/2023,"40.74","40.84","40.65","40.70","7,100,416"
04/10/2023,"40.27","40.42","40.21","40.40","5,814,790"
04/06/2023,"40.27","40.58","40.16","40.49","7,399,649"
04/05/2023,"40.54","40.54","40.10","40.25","6,787,987"
04/04/2023,"40.51","40.63","40.41","40.61","6,596,703"
04/03/2023,"40.44","40.60","40.39","40.57","9,475,869"
03/31/2023,"40.48","40.58","40.31","40.40","8,309,822"
03/30/2023,"40.45","40.62","40.34","40.52","6,306,972"
03/29/2023,"40.03","40.19","39.92","40.13","9,960,562"
03/28/2023,"39.79","40.00","39.78","39.99","5,786,444"
03/27/2023,"39.43","39.54","39.32","39.52","7,548,107"
03/24/2023,"39.53","39.73","39.46","39.71","8,957,906"
03/23/2023,"39.96","40.21","39.60","39.79","9,410,827"
03/22/2023,"39.44","39.86","39.29","39.31","8,075,856"
03/21/2023,"39.13","39.28","39.00","39.19","7,121,961"
03/20/2023,"38.63","38.91","38.52","38.78","7,514,940"
03/17/2023,"38.97","38.98","38.62","38.74","8,361,314"
03/16/2023,"38.35","38.96","38.31","38.94","14,642,190"
03/15/2023,"38.33","38.48","38.11","38.45","23,584,119"
03/14/2023,"39.03","39.19","38.92","39.10","10,215,360"
03/13/2023,"38.94","39.33","38.85","39.08","14,464,230"
03/10/2023,"39.31","39.49","39.08","39.12","14,675,820"
03/09/2023,"39.80","39.88","39.28","39.34","8,372,552"
03/08/2023,"40.02","40.25","40.01","40.16","6,696,843"
03/07/2023,"40.40","40.41","39.94","39.95","9,885,887"
03/06/2023,"40.65","40.83","40.51","40.55","8,619,728"
03/03/2023,"40.50","40.76","40.45","40.69","8,122,602"
03/02/2023,"40.10","40.50","40.02","40.39","13,980,820"
03/01/2023,"40.31","40.36","40.13","40.21","12,820,100"
02/28/2023,"39.53","39.69","39.39","39.42","10,625,010"
02/27/2023,"39.73","39.75","39.58","39.66","14,329,560"
02/24/2023,"39.48","39.64","39.31","39.46","20,141,480"
02/23/2023,"40.55","40.60","40.02","40.23","13,227,340"
02/22/2023,"40.19","40.31","40.00","40.09","14,404,260"
02/21/2023,"40.50","40.69","40.26","40.26","12,837,320"
02/17/2023,"40.67","40.77","40.53","40.71","7,075,580"
02/16/2023,"40.89","41.26","40.77","41.04","7,802,746"
02/15/2023,"40.87","41.13","40.80","41.12","8,818,582"
02/14/2023,"41.10","41.50","41.00","41.32","8,875,525"
02/13/2023,"41.25","41.52","41.16","41.44","5,597,989"
02/10/2023,"41.22","41.24","40.96","41.07","6,052,743"
02/09/2023,"41.74","41.81","41.30","41.42","8,787,576"
02/08/2023,"41.39","41.45","41.07","41.26","11,288,100"
02/07/2023,"41.22","41.48","40.96","41.34","11,589,180"
02/06/2023,"41.09","41.32","40.95","41.26","12,668,670"
02/03/2023,"41.93","42.19","41.61","41.69","13,327,410"
02/02/2023,"42.67","42.67","42.20","42.36","11,068,700"
02/01/2023,"42.35","42.79","42.10","42.66","23,841,320"
01/31/2023,"41.97","42.23","41.88","42.23","14,664,540"
01/30/2023,"42.30","42.43","42.12","42.12","11,908,280"
01/27/2023,"43.01","43.01","42.77","42.89","11,910,780"
01/26/2023,"43.10","43.22","42.90","43.18","10,830,150"
01/25/2023,"42.60","42.87","42.40","42.85","8,435,752"
01/24/2023,"42.66","42.87","42.60","42.84","13,591,820"
01/23/2023,"42.58","42.99","42.52","42.80","13,000,180"
