,Date,Open,High,Low,Close,Volume,daily_return_normalized
0,04/21/2023,40.02,40.02,39.76,39.95,"6,920,597",-0.009422266303000137
1,04/20/2023,40.35,40.57,40.23,40.33,"6,724,266",-0.0012382367508668723
2,04/19/2023,40.37,40.45,40.27,40.38,"6,359,265",-0.010294117647058676
3,04/18/2023,40.9,40.95,40.69,40.8,"8,100,675",-0.001956947162426781
4,04/17/2023,40.88,40.93,40.73,40.88,"14,731,730",0.0054107230693558606
5,04/14/2023,40.7,40.85,40.5,40.66,"6,061,648",-0.00538160469667337
6,04/13/2023,40.79,40.94,40.75,40.88,"5,708,221",0.012131715771230622
7,04/12/2023,40.78,40.82,40.34,40.39,"7,865,561",-0.00761670761670763
8,04/11/2023,40.74,40.84,40.65,40.7,"7,100,416",0.007425742574257432
9,04/10/2023,40.27,40.42,40.21,40.4,"5,814,790",-0.0022227710545814627
10,04/06/2023,40.27,40.58,40.16,40.49,"7,399,649",0.005962732919254643
11,04/05/2023,40.54,40.54,40.1,40.25,"6,787,987",-0.008864811622752988
12,04/04/2023,40.51,40.63,40.41,40.61,"6,596,703",0.000985950209514419
13,04/03/2023,40.44,40.6,40.39,40.57,"9,475,869",0.004207920792079323
14,03/31/2023,40.48,40.58,40.31,40.4,"8,309,822",-0.0029615004935835687
15,03/30/2023,40.45,40.62,40.34,40.52,"6,306,972",0.009718415150760107
16,03/29/2023,40.03,40.19,39.92,40.13,"9,960,562",0.003500875218804822
17,03/28/2023,39.79,40.0,39.78,39.99,"5,786,444",0.011892712550607198
18,03/27/2023,39.43,39.54,39.32,39.52,"7,548,107",-0.004784688995215225
19,03/24/2023,39.53,39.73,39.46,39.71,"8,957,906",-0.002010555415933646
20,03/23/2023,39.96,40.21,39.6,39.79,"9,410,827",0.012210633426608997
21,03/22/2023,39.44,39.86,39.29,39.31,"8,075,856",0.003062005613676977
22,03/21/2023,39.13,39.28,39.0,39.19,"7,121,961",0.010572460030943587
23,03/20/2023,38.63,38.91,38.52,38.78,"7,514,940",0.0010325245224573898
24,03/17/2023,38.97,38.98,38.62,38.74,"8,361,314",-0.005136106831021947
25,03/16/2023,38.35,38.96,38.31,38.94,"14,642,190",0.012743823146943889
26,03/15/2023,38.33,38.48,38.11,38.45,"23,584,119",-0.01662404092071612
27,03/14/2023,39.03,39.19,38.92,39.1,"10,215,360",0.0005117707267145999
28,03/13/2023,38.94,39.33,38.85,39.08,"14,464,230",-0.0010224948875255935
29,03/10/2023,39.31,39.49,39.08,39.12,"14,675,820",-0.005592272496187212
30,03/09/2023,39.8,39.88,39.28,39.34,"8,372,552",-0.020418326693226962
31,03/08/2023,40.02,40.25,40.01,40.16,"6,696,843",0.005256570713391584
32,03/07/2023,40.4,40.41,39.94,39.95,"9,885,887",-0.014796547472256338
33,03/06/2023,40.65,40.83,40.51,40.55,"8,619,728",-0.003440648808060942
34,03/03/2023,40.5,40.76,40.45,40.69,"8,122,602",0.007427581084426871
35,03/02/2023,40.1,40.5,40.02,40.39,"13,980,820",0.004476498383486627
36,03/01/2023,40.31,40.36,40.13,40.21,"12,820,100",0.020040588533739134
37,02/28/2023,39.53,39.69,39.39,39.42,"10,625,010",-0.0060514372163387176
38,02/27/2023,39.73,39.75,39.58,39.66,"14,329,560",0.005068423720222981
39,02/24/2023,39.48,39.64,39.31,39.46,"20,141,480",-0.019139945314441853
40,02/23/2023,40.55,40.6,40.02,40.23,"13,227,340",0.003492142678972243
41,02/22/2023,40.19,40.31,40.0,40.09,"14,404,260",-0.004222553402881135
42,02/21/2023,40.5,40.69,40.26,40.26,"12,837,320",-0.011053795136330202
43,02/17/2023,40.67,40.77,40.53,40.71,"7,075,580",-0.008040935672514626
44,02/16/2023,40.89,41.26,40.77,41.04,"7,802,746",-0.0019455252918287869
45,02/15/2023,40.87,41.13,40.8,41.12,"8,818,582",-0.004840271055179146
46,02/14/2023,41.1,41.5,41.0,41.32,"8,875,525",-0.0028957528957528345
47,02/13/2023,41.25,41.52,41.16,41.44,"5,597,989",0.009009009009008917
48,02/10/2023,41.22,41.24,40.96,41.07,"6,052,743",-0.008450024142926171
49,02/09/2023,41.74,41.81,41.3,41.42,"8,787,576",0.0038778477944740875
50,02/08/2023,41.39,41.45,41.07,41.26,"11,288,100",-0.0019351717464926033
51,02/07/2023,41.22,41.48,40.96,41.34,"11,589,180",0.0019389238972371547
52,02/06/2023,41.09,41.32,40.95,41.26,"12,668,670",-0.010314224034540631
53,02/03/2023,41.93,42.19,41.61,41.69,"13,327,410",-0.015816808309726205
54,02/02/2023,42.67,42.67,42.2,42.36,"11,068,700",-0.007032348804500654
55,02/01/2023,42.35,42.79,42.1,42.66,"23,841,320",0.010182334833056972
56,01/31/2023,41.97,42.23,41.88,42.23,"14,664,540",0.0026115859449191703
57,01/30/2023,42.3,42.43,42.12,42.12,"11,908,280",-0.017952902774539647
58,01/27/2023,43.01,43.01,42.77,42.89,"11,910,780",-0.006716072255673944
59,01/26/2023,43.1,43.22,42.9,43.18,"10,830,150",0.007701283547257853
60,01/25/2023,42.6,42.87,42.4,42.85,"8,435,752",0.00023342670401493848
61,01/24/2023,42.66,42.87,42.6,42.84,"13,591,820",0.0009345794392525697
